"","price","types","address","latitude","longitude","date","beds","baths","sq.","bath","reception","receptions","bed"
"1","865000","flat","Pages Walk, London SE1","51.495738","-0.081208","2nd Sep 2021","2","2","840","0","0","0","0"
"2","750000","detached","Park Road, Kenley CR8","51.320999","-0.108466","2nd Sep 2021","3","0",NA,"1","1","0","0"
"3","419950","terraced","Anthony Road, London SE25","51.387405","-0.071903","2nd Sep 2021","2","2",NA,"0","0","2","0"
"4","1095000","flat","Pages Walk, London SE1","51.495738","-0.081208","2nd Sep 2021","3","2","968","0","0","0","0"
"5","849995","semi-detached","Inchmery Road, London SE6","51.440248","-0.013402","2nd Sep 2021","4","0",NA,"1","0","3","0"
"6","3e+05","flat","North Block, The Railstore, Kidman Close, Gidea Park, Romford RM2","51.584796","0.2138","2nd Sep 2021","2","0",NA,"1","1","0","0"
"7","625000","flat","Holloway Road, London N7","51.550472","-0.109663","2nd Sep 2021","2","2",NA,"0","1","0","0"
"8","1450000","flat","Netherhall Gardens, Hampstead, London NW3","51.552177","-0.177179","2nd Sep 2021","3","2",NA,"0","1","0","0"
"9","1750000","terraced","Offord Road, London N1","51.543645","-0.111717","2nd Sep 2021","4","2",NA,"0","0","2","0"
"10","465000","flat","Purbrook Estate, Tower Bridge Road, London SE1","51.498665","-0.078751","2nd Sep 2021","2","0",NA,"1","1","0","0"
"11","525000","flat","Hartington Road, London W4","51.481372","-0.274774","2nd Sep 2021","2","0","589","1","1","0","0"
"12","550000","flat","Chrisp Street, London E14","51.514668","-0.014592","2nd Sep 2021","3","2",NA,"0","1","0","0"
"13","7e+05","flat","Deveraux House, Duke Of Wellington Avenue, London SE18","51.4941","0.06686","2nd Sep 2021","2","2",NA,"0","1","0","0"
"14","1e+06","end","Maple Grove, London W5","51.501308","-0.303982","2nd Sep 2021","3","2","1,167","0","0","2","0"
"15","670000","property","Hawkhurst Way, New Malden KT3","51.396448","-0.269297","2nd Sep 2021","5","2",NA,"0","0","2","0"
"16","299995","maisonette","Dorrit Mews, Edmonton N18","51.615413","-0.073343","2nd Sep 2021","3","0",NA,"1","1","0","0"
"17","1175000","flat","College Crescent, London NW3","51.545391","-0.175109","2nd Sep 2021","3","2",NA,"0","1","0","0"
"18","385000","flat","Charter Court, 65B Bridge Street, Pinner HA5","51.595293","-0.384438","2nd Sep 2021","2","0",NA,"1","1","0","0"
"19","1100000","terraced","Derwent, Derby Road, London E9","51.537427","-0.046631","2nd Sep 2021","3","2","872","0","1","0","0"
"20","575000","flat","South Lambeth Road, London SW8","51.479699","-0.123689","2nd Sep 2021","2","0",NA,"1","1","0","0"
"21","207500","property","Uxbridge Road, Hatch End, Pinner HA5","51.606934","-0.375738","2nd Sep 2021","0","0",NA,"1","1","0","1"
"22","550000","semi-detached","Rush Green Road, Romford RM7","51.564399","0.169995","2nd Sep 2021","4","3",NA,"0","1","0","0"
"23","330000","sale","Sailors House, New Aberfeldy Village, 16 Deauville Close E14","51.51287","-0.001802","2nd Sep 2021","0","0","410","1","1","0","0"
"24","5e+05","maisonette","Grosvenor Road, Finchley, London N3","51.606623","-0.197077","2nd Sep 2021","2","0",NA,"1","1","0","0"
"25","370000","terraced","Upton Road, Thornton Heath CR7","51.408071","-0.095708","2nd Sep 2021","3","2",NA,"0","0","2","0"
"26","1625000","detached","Homefield Road, Coulsdon CR5","51.299027","-0.112571","2nd Sep 2021","5","2",NA,"0","0","3","0"
